area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Dec 2024,Aurangpura East 21,5 BHK,Green Park,4120,5,0,251.36
Built-up  Area,Ready To Move,Garkheda East 2,4 BHK,Sai Residency,2668,3,2,102.85
Carpet  Area,Immediate Possession,Baijipura Central 59,1 BHK,Green Park,720,1,0,38.34
Built-up  Area,Under Construction,MGM Campus Central 8,2 Bedroom,Golden Nest,946,3,0,60.2
Super built-up  Area,Immediate Possession,Waluj MIDC Central 7,2 BHK,Nilgiri Heights,983,4,2,42.32
Super built-up  Area,Immediate Possession,Usmanpura Block 11,2 BHK,Green Park,1174,1,1,51.35
Carpet  Area,18 Months,MGM Campus East 53,2 Bedroom,Green Park,801,1,3,46.96
Built-up  Area,Immediate Possession,Vedant Nagar Sector 6,5 BHK,Sai Residency,4808,1,0,229.72
Carpet  Area,Dec 2024,Jalna Road Central 24,2 BHK,Lake View,751,5,0,47.44
Super built-up  Area,Dec 2024,Usmanpura West 19,3 BHK,Golden Nest,1212,3,2,77.43
Plot  Area,Under Construction,Usmanpura North 55,5 BHK,Nilgiri Heights,4574,2,3,296.47
Super built-up  Area,Immediate Possession,Shendra MIDC East 9,4 BHK,Rose Garden,1731,4,0,70.85
Carpet  Area,Dec 2024,Padegaon Central 15,2 BHK,Nilgiri Heights,1254,2,2,46.97
Built-up  Area,Immediate Possession,Pundlik Nagar Sector 6,2 BHK,Golden Nest,1266,1,3,54.85
Carpet  Area,Ready To Move,Seven Hills Block 27,1 BHK,Golden Nest,614,1,1,25.46
Built-up  Area,Ready To Move,MGM Campus North 28,2 Bedroom,Sunshine Towers,1006,3,0,55.99
Plot  Area,Immediate Possession,Harsul North 6,3 Bedroom,Rose Garden,1347,3,1,73.49
Carpet  Area,Immediate Possession,Beed Bypass East 16,1 BHK,Sunshine Towers,743,1,2,34.61
Plot  Area,Dec 2024,Nirala Bazaar Extension 4,3 Bedroom,Nilgiri Heights,1020,3,2,48.61
Carpet  Area,Dec 2024,Satara Area Enclave 4,3 BHK,Rose Garden,1644,3,3,106.51
Carpet  Area,Dec 2024,Nakshtrawadi East 4,5 BHK,Rose Garden,3191,3,1,206.78
Carpet  Area,Ready To Move,CIDCO Enclave 46,5 BHK,Rose Garden,4247,1,3,178.13
Plot  Area,Ready To Move,Padegaon North 9,1 BHK,,605,4,0,38.0
Built-up  Area,Immediate Possession,Usmanpura Block 52,4 BHK,,2508,4,0,130.43
Carpet  Area,Under Construction,Pundlik Nagar Phase 3,3 BHK,Golden Nest,1300,4,0,60.04
Super built-up  Area,18 Months,Shahgunj Sector 2,1 BHK,Sunshine Towers,680,1,3,24.3
Super built-up  Area,Under Construction,Pundlik Nagar Extension 19,2 BHK,Green Park,1121,2,2,43.47
Carpet  Area,18 Months,MGM Campus South 3,2 Bedroom,Sai Residency,982,3,1,56.92
Carpet  Area,18 Months,CIDCO East 10,1 BHK,Sunshine Towers,447,4,1,26.92
Built-up  Area,Under Construction,Hudco Sector 59,5 BHK,Golden Nest,4938,5,1,287.32
Built-up  Area,Under Construction,MGM Campus East 53,2 Bedroom,Lake View,1098,2,2,38.89
Built-up  Area,Ready To Move,Nakshtrawadi Extension 17,2 Bedroom,,1243,1,3,60.68
Super built-up  Area,Immediate Possession,Seven Hills Phase 20,1 BHK,Golden Nest,461,3,0,24.81
Plot  Area,18 Months,Shahgunj South 49,5 BHK,Rose Garden,2635,1,3,160.08
Plot  Area,Ready To Move,Shahgunj East 51,1 BHK,Lake View,775,2,1,48.21
Built-up  Area,Ready To Move,Waluj MIDC West 36,3 Bedroom,Rose Garden,1332,1,1,73.71
Built-up  Area,Immediate Possession,Shendra MIDC Sector 7,3 Bedroom,,1294,3,0,68.79
Plot  Area,Immediate Possession,Usmanpura South 49,2 BHK,Rose Garden,753,1,1,43.77
Super built-up  Area,Under Construction,MGM Campus Enclave 31,3 Bedroom,Green Park,1624,1,2,65.8
Built-up  Area,18 Months,Padegaon West 10,5 BHK,Rose Garden,3904,1,2,186.05
Plot  Area,Ready To Move,Hudco Enclave 32,3 BHK,Green Park,1195,2,1,43.57
Plot  Area,18 Months,Garkheda Block 38,5 BHK,Sunshine Towers,3816,1,2,192.82
Super built-up  Area,Dec 2024,Vedant Nagar West 21,5 BHK,Golden Nest,4483,5,1,217.03
Super built-up  Area,Immediate Possession,Shahgunj Phase 15,3 BHK,Golden Nest,1432,1,3,77.09
Super built-up  Area,18 Months,Paithan Road Extension 16,3 BHK,Lake View,1538,1,1,73.53
Carpet  Area,Ready To Move,MGM Campus East 54,3 BHK,Nilgiri Heights,1261,1,1,61.71
Built-up  Area,Under Construction,Baijipura Enclave 17,5 BHK,Lake View,3461,5,0,175.98
Super built-up  Area,Immediate Possession,MGM Campus Extension 45,3 BHK,Lake View,1622,2,1,88.05
Plot  Area,Dec 2024,Vedant Nagar Central 56,5 BHK,Sunshine Towers,3252,5,1,120.96
Super built-up  Area,Dec 2024,MGM Campus West 2,3 Bedroom,Rose Garden,1573,1,3,95.42
Super built-up  Area,Dec 2024,Waluj MIDC Central 42,2 Bedroom,Rose Garden,746,1,0,38.6
Carpet  Area,Ready To Move,Usmanpura North 26,3 BHK,Golden Nest,1156,2,1,42.42
Super built-up  Area,18 Months,Aurangpura East 13,3 Bedroom,Sunshine Towers,1060,5,3,37.62
Super built-up  Area,Under Construction,Padegaon Block 12,1 BHK,Golden Nest,415,1,0,17.99
Plot  Area,18 Months,Nirala Bazaar Block 8,3 BHK,Green Park,1347,4,0,82.43
Plot  Area,18 Months,Kranti Chowk Enclave 12,1 BHK,Golden Nest,766,2,2,44.39
Super built-up  Area,Ready To Move,Shendra MIDC Sector 3,1 BHK,Nilgiri Heights,459,4,3,23.64
Built-up  Area,Under Construction,Hudco Extension 5,5 BHK,Sunshine Towers,3488,1,3,148.94
Carpet  Area,Immediate Possession,Vedant Nagar Extension 34,3 BHK,Golden Nest,1091,3,0,54.13
Built-up  Area,18 Months,Satara Area Enclave 15,2 BHK,Sai Residency,707,4,3,34.46
Carpet  Area,Dec 2024,Garkheda Block 17,3 Bedroom,Golden Nest,1029,3,3,47.14
Carpet  Area,Immediate Possession,Nakshtrawadi West 46,2 Bedroom,Green Park,1293,2,3,73.11
Super built-up  Area,Immediate Possession,Paithan Road West 37,2 Bedroom,Nilgiri Heights,812,1,3,51.18
Built-up  Area,Immediate Possession,Vedant Nagar Extension 34,2 BHK,Nilgiri Heights,1161,2,0,42.33
Built-up  Area,Ready To Move,CIDCO Phase 22,2 Bedroom,Nilgiri Heights,753,5,3,31.89
Plot  Area,Dec 2024,Jalna Road East 25,2 BHK,Lake View,750,3,1,45.59
Plot  Area,Under Construction,Kranti Chowk South 17,2 BHK,Sunshine Towers,1097,2,3,56.69
Carpet  Area,18 Months,Paithan Road East 23,3 Bedroom,Sunshine Towers,1018,3,0,65.82
Plot  Area,Immediate Possession,Seven Hills South 35,3 Bedroom,Lake View,1312,1,3,48.29
Carpet  Area,Ready To Move,Nirala Bazaar West 50,3 BHK,Golden Nest,1551,1,2,64.83
Carpet  Area,18 Months,Kranti Chowk North 41,2 Bedroom,Golden Nest,840,1,1,40.03
Plot  Area,Dec 2024,Garkheda Block 58,5 BHK,Rose Garden,3185,4,3,158.34
Plot  Area,18 Months,Shahgunj Block 5,2 BHK,Rose Garden,807,4,0,39.91
Carpet  Area,Under Construction,Paithan Road Enclave 8,2 Bedroom,Green Park,1075,2,3,44.35
Super built-up  Area,Ready To Move,Paithan Road North 38,3 BHK,Sunshine Towers,1346,4,2,79.71
Carpet  Area,Dec 2024,Hudco Phase 20,3 Bedroom,Golden Nest,1467,2,3,66.04
Carpet  Area,18 Months,Shivaji Nagar East 33,2 Bedroom,Golden Nest,1006,1,0,54.86
Super built-up  Area,18 Months,Nakshtrawadi Extension 39,1 BHK,Rose Garden,477,2,2,29.09
Carpet  Area,Dec 2024,Hudco Phase 35,2 Bedroom,Green Park,746,1,1,37.89
Carpet  Area,Immediate Possession,MGM Campus Enclave 20,3 Bedroom,,1087,2,1,68.63
Plot  Area,Ready To Move,Shendra MIDC West 6,2 BHK,Sai Residency,771,2,1,46.54
Super built-up  Area,Ready To Move,Pundlik Nagar West 53,5 BHK,Nilgiri Heights,3021,1,1,161.58
Super built-up  Area,Immediate Possession,CIDCO East 18,4 BHK,Rose Garden,2743,1,3,152.11
Built-up  Area,Ready To Move,Usmanpura West 9,1 BHK,Lake View,737,5,1,33.65
Carpet  Area,Dec 2024,Kranti Chowk East 24,1 BHK,Lake View,606,5,3,33.93
Super built-up  Area,Immediate Possession,Shahgunj Central 40,4 BHK,Golden Nest,2308,1,0,122.61
Carpet  Area,Under Construction,Nakshtrawadi East 4,3 Bedroom,Sunshine Towers,1134,3,1,50.52
Carpet  Area,18 Months,Mukundwadi Enclave 46,2 Bedroom,Nilgiri Heights,912,3,2,43.82
Plot  Area,Under Construction,Garkheda West 3,4 BHK,,2669,4,1,103.3
Plot  Area,Dec 2024,Jalna Road Phase 2,2 Bedroom,Nilgiri Heights,1134,4,0,42.2
Carpet  Area,Dec 2024,Usmanpura Central 40,2 Bedroom,Rose Garden,1187,3,2,59.72
Plot  Area,Immediate Possession,Shendra MIDC South 43,2 BHK,Sunshine Towers,1270,5,2,45.82
Built-up  Area,Immediate Possession,Pundlik Nagar Central 43,4 BHK,Lake View,2349,3,3,140.81
Super built-up  Area,18 Months,Shendra MIDC Sector 34,2 BHK,Sunshine Towers,959,5,2,37.8
Plot  Area,18 Months,Cantonment Enclave 33,3 BHK,Nilgiri Heights,1427,4,3,87.62
Built-up  Area,Dec 2024,Harsul East 39,5 BHK,Nilgiri Heights,4585,4,2,234.46
Plot  Area,Under Construction,Jalna Road East 58,2 Bedroom,Sai Residency,882,1,0,51.75
Plot  Area,18 Months,Kranti Chowk Central 44,5 BHK,Golden Nest,4511,4,3,239.0
Built-up  Area,Immediate Possession,MGM Campus Extension 45,2 Bedroom,Golden Nest,1049,3,2,48.6
Carpet  Area,Immediate Possession,Paithan Road Enclave 22,3 Bedroom,Lake View,1730,3,1,75.99
Super built-up  Area,Immediate Possession,Seven Hills West 3,3 Bedroom,Green Park,1707,1,0,110.37
Built-up  Area,Under Construction,Hudco Phase 35,2 BHK,Golden Nest,819,4,0,34.87
Super built-up  Area,Dec 2024,Pundlik Nagar Sector 30,5 BHK,Sai Residency,3442,3,2,138.29
Built-up  Area,Immediate Possession,Shivaji Nagar Block 7,3 Bedroom,Sai Residency,1404,5,2,89.9
Carpet  Area,Ready To Move,MGM Campus Central 35,2 Bedroom,Sai Residency,1300,3,1,50.44
Carpet  Area,Immediate Possession,Aurangpura Sector 20,2 Bedroom,Sai Residency,1026,2,2,42.94
Carpet  Area,Dec 2024,Nirala Bazaar South 17,4 BHK,Sunshine Towers,2255,5,0,132.5
Super built-up  Area,Ready To Move,Shivaji Nagar West 21,2 BHK,Golden Nest,916,5,3,50.99
Plot  Area,18 Months,Nirala Bazaar Extension 27,4 BHK,Nilgiri Heights,1706,5,1,83.27
Super built-up  Area,Immediate Possession,Hudco Central 40,2 BHK,Golden Nest,918,2,1,58.11
Built-up  Area,Dec 2024,Cantonment Enclave 53,1 BHK,Green Park,435,3,3,24.1
Super built-up  Area,Immediate Possession,Mukundwadi North 11,4 BHK,Green Park,2809,1,2,109.12
Built-up  Area,Immediate Possession,Shahgunj Phase 15,3 BHK,Sai Residency,1396,1,3,62.84
Super built-up  Area,18 Months,Beed Bypass West 54,2 BHK,,1062,4,1,51.39
Carpet  Area,Dec 2024,Kranti Chowk Enclave 23,3 Bedroom,Nilgiri Heights,1099,5,3,55.32
Plot  Area,Under Construction,Nakshtrawadi Extension 49,1 BHK,Golden Nest,793,1,3,48.59
Plot  Area,Under Construction,Garkheda East 29,2 BHK,Sai Residency,840,2,2,51.69
Super built-up  Area,Under Construction,Shahgunj North 30,1 BHK,Nilgiri Heights,549,5,2,31.99
Carpet  Area,Dec 2024,Garkheda Block 36,4 BHK,Rose Garden,2202,4,1,102.05
Carpet  Area,Dec 2024,Usmanpura South 39,5 BHK,Green Park,4664,1,3,227.06
Super built-up  Area,Immediate Possession,Jalna Road Enclave 48,2 Bedroom,Green Park,928,2,1,33.85
Super built-up  Area,18 Months,Usmanpura Enclave 54,2 BHK,Sunshine Towers,1155,5,2,61.6
Built-up  Area,18 Months,Nirala Bazaar North 30,3 BHK,Golden Nest,1743,2,1,95.52
Built-up  Area,Dec 2024,Jalna Road West 29,2 BHK,Lake View,1098,5,0,59.11
Super built-up  Area,Under Construction,Vedant Nagar North 15,1 BHK,Golden Nest,448,2,3,27.34
Built-up  Area,Immediate Possession,Cantonment West 45,1 BHK,Sai Residency,773,1,3,31.76
Built-up  Area,Immediate Possession,Baijipura Block 4,2 BHK,Sai Residency,798,4,0,30.98
Super built-up  Area,Ready To Move,Cantonment East 16,2 Bedroom,Golden Nest,949,1,1,51.45
Carpet  Area,Dec 2024,Beed Bypass Block 23,5 BHK,Lake View,3758,5,3,208.68
Carpet  Area,Ready To Move,Vedant Nagar Extension 57,2 Bedroom,Sunshine Towers,794,1,3,38.06
Plot  Area,Immediate Possession,Jalna Road West 45,5 BHK,Sunshine Towers,3002,4,0,145.98
Built-up  Area,Dec 2024,Garkheda Phase 54,1 BHK,,697,4,0,38.78
Carpet  Area,18 Months,Harsul West 58,3 Bedroom,Sai Residency,1500,4,3,94.74
Plot  Area,Under Construction,Shivaji Nagar East 27,2 Bedroom,Nilgiri Heights,802,5,3,43.41
Super built-up  Area,Dec 2024,Pundlik Nagar West 18,2 BHK,Sunshine Towers,856,5,2,48.61
Built-up  Area,Under Construction,Beed Bypass East 9,2 Bedroom,Rose Garden,762,1,1,37.28
Super built-up  Area,Dec 2024,Usmanpura Central 43,2 Bedroom,Rose Garden,742,3,2,36.05
Carpet  Area,Dec 2024,Kranti Chowk Sector 31,2 BHK,Sai Residency,1060,4,2,66.87
Built-up  Area,18 Months,Shendra MIDC Sector 34,1 BHK,Lake View,717,4,2,45.82
Carpet  Area,18 Months,Beed Bypass Sector 20,5 BHK,Sai Residency,3779,1,2,162.67
Carpet  Area,Immediate Possession,Shahgunj Phase 58,3 BHK,Golden Nest,1702,3,0,97.96
Plot  Area,Dec 2024,Paithan Road Enclave 27,3 Bedroom,Sunshine Towers,1286,3,0,66.21
Carpet  Area,Ready To Move,Baijipura Central 25,3 BHK,Lake View,1180,1,2,53.89
Carpet  Area,Ready To Move,CIDCO Enclave 30,2 Bedroom,Sai Residency,1207,3,1,67.21
Built-up  Area,18 Months,Padegaon Block 12,4 BHK,Sai Residency,2158,3,3,92.37
Carpet  Area,Ready To Move,Pundlik Nagar Block 56,3 BHK,Green Park,1758,1,2,81.0
Carpet  Area,Dec 2024,CIDCO East 56,3 BHK,Rose Garden,1781,5,2,87.29
Plot  Area,Under Construction,Hudco Phase 57,2 BHK,Lake View,905,2,2,43.3
Carpet  Area,Ready To Move,MGM Campus West 2,1 BHK,,645,3,3,23.17
Plot  Area,Under Construction,Seven Hills Phase 40,2 Bedroom,Golden Nest,1122,5,2,69.11
Super built-up  Area,Dec 2024,Waluj MIDC Enclave 3,5 BHK,,2686,3,1,171.7
Plot  Area,Immediate Possession,MGM Campus South 13,5 BHK,Lake View,4662,2,1,231.24
Carpet  Area,Immediate Possession,Vedant Nagar Sector 6,4 BHK,,2622,5,0,149.39
Built-up  Area,Under Construction,Shendra MIDC West 6,3 BHK,Sunshine Towers,1491,1,3,85.2
Plot  Area,Under Construction,Waluj MIDC North 38,3 Bedroom,Rose Garden,1513,2,3,82.43
Plot  Area,Ready To Move,CIDCO Phase 52,3 BHK,Sai Residency,1110,5,3,55.6
Carpet  Area,Under Construction,Jalna Road Sector 49,4 BHK,Sai Residency,2987,3,3,172.68
Plot  Area,Immediate Possession,MGM Campus Enclave 20,2 BHK,Golden Nest,976,1,1,61.71
Plot  Area,18 Months,Mukundwadi Enclave 43,3 BHK,Nilgiri Heights,1529,5,0,88.58
Super built-up  Area,18 Months,Aurangpura Sector 31,5 BHK,Sai Residency,4103,4,1,230.75
Super built-up  Area,Dec 2024,Waluj MIDC South 21,4 BHK,Green Park,2547,5,3,146.63
Built-up  Area,Immediate Possession,Harsul Sector 42,2 BHK,Green Park,844,5,3,29.57
Plot  Area,Dec 2024,Usmanpura South 49,4 BHK,Sai Residency,2223,2,2,138.27
Built-up  Area,18 Months,MGM Campus East 11,1 BHK,,681,2,3,38.81
Super built-up  Area,Ready To Move,Shendra MIDC Extension 46,3 BHK,,1085,2,1,66.2
Built-up  Area,Dec 2024,Shendra MIDC Sector 11,3 BHK,Sunshine Towers,1549,2,0,100.38
Plot  Area,Immediate Possession,Harsul East 7,2 Bedroom,Lake View,1048,1,3,52.31
Super built-up  Area,18 Months,Shivaji Nagar Enclave 49,2 Bedroom,Lake View,744,2,1,33.37
Super built-up  Area,Dec 2024,Jalna Road West 45,3 BHK,Sunshine Towers,1620,3,1,87.62
Super built-up  Area,Dec 2024,Baijipura Block 53,2 BHK,Lake View,989,5,1,50.06
Carpet  Area,Under Construction,Satara Area East 2,2 Bedroom,Lake View,1201,4,2,52.91
Super built-up  Area,Under Construction,Seven Hills East 28,4 BHK,Lake View,2011,5,2,126.16
Built-up  Area,Immediate Possession,Garkheda East 45,2 BHK,Green Park,716,1,1,42.14
Plot  Area,18 Months,Vedant Nagar Block 24,2 BHK,,935,5,0,54.75
Plot  Area,Immediate Possession,Hudco Block 3,4 BHK,Nilgiri Heights,2815,2,2,157.16
Super built-up  Area,Immediate Possession,Kranti Chowk East 9,3 Bedroom,Golden Nest,1566,2,1,62.89
Super built-up  Area,18 Months,Garkheda Block 8,2 BHK,Sunshine Towers,1292,2,3,60.54
Plot  Area,18 Months,Jalna Road Extension 54,3 BHK,Golden Nest,1606,2,0,99.26
Plot  Area,Ready To Move,Garkheda West 43,4 BHK,Rose Garden,2183,3,1,93.06
Super built-up  Area,Ready To Move,Padegaon Phase 58,2 Bedroom,Rose Garden,877,5,0,52.55
Super built-up  Area,Dec 2024,Jalna Road Block 55,3 Bedroom,,1285,5,3,80.4
Plot  Area,Immediate Possession,Jalna Road Sector 3,4 BHK,Sai Residency,2822,2,0,122.05
Super built-up  Area,Dec 2024,Aurangpura Phase 16,2 Bedroom,Nilgiri Heights,977,4,0,36.26
Super built-up  Area,Under Construction,Shivaji Nagar North 18,1 BHK,Green Park,455,3,0,21.62
Built-up  Area,18 Months,Padegaon Block 1,3 BHK,Golden Nest,1040,4,2,39.69
Super built-up  Area,Ready To Move,Shahgunj North 16,3 Bedroom,,1085,1,0,46.97
Plot  Area,Under Construction,Garkheda Enclave 37,4 BHK,Rose Garden,2921,1,0,136.7
Plot  Area,Immediate Possession,Jalna Road East 58,3 BHK,Nilgiri Heights,1097,5,0,53.42
Plot  Area,Under Construction,Waluj MIDC Block 27,5 BHK,Golden Nest,4637,5,3,202.17
Super built-up  Area,Immediate Possession,Cantonment Block 30,3 Bedroom,Green Park,1203,2,1,49.21
Plot  Area,18 Months,Mukundwadi Extension 27,3 Bedroom,Golden Nest,1524,2,2,55.85
Super built-up  Area,Ready To Move,Satara Area North 54,3 BHK,Sai Residency,1333,5,0,69.98
Carpet  Area,Under Construction,Satara Area Extension 59,1 BHK,Nilgiri Heights,781,3,2,48.47
Built-up  Area,Immediate Possession,Aurangpura Central 26,4 BHK,Rose Garden,2924,3,0,163.28
Carpet  Area,Immediate Possession,Seven Hills Block 51,2 Bedroom,Lake View,1142,1,2,65.11
Plot  Area,Ready To Move,Garkheda Sector 28,3 BHK,Nilgiri Heights,1111,2,0,52.02
Carpet  Area,Dec 2024,Vedant Nagar Block 23,3 BHK,Rose Garden,1758,5,2,100.99
Super built-up  Area,Ready To Move,Cantonment Central 47,1 BHK,Green Park,482,1,2,18.91
Carpet  Area,Under Construction,Usmanpura North 2,3 Bedroom,Green Park,1655,5,3,106.18
Super built-up  Area,Ready To Move,Waluj MIDC North 33,4 BHK,Sunshine Towers,2661,3,1,160.25
Carpet  Area,Dec 2024,Paithan Road Extension 24,1 BHK,Nilgiri Heights,482,1,0,17.53
Plot  Area,Ready To Move,Nakshtrawadi Phase 32,3 BHK,,1328,4,2,72.93
Plot  Area,Under Construction,Hudco Enclave 43,4 BHK,Sai Residency,2439,4,1,153.6
Super built-up  Area,Immediate Possession,Shahgunj East 24,1 BHK,,425,4,0,22.2
Carpet  Area,18 Months,Usmanpura East 6,2 BHK,Sai Residency,875,2,1,47.62
Super built-up  Area,Under Construction,Vedant Nagar Extension 22,5 BHK,Sai Residency,4388,5,0,265.24
Built-up  Area,18 Months,Shahgunj Enclave 22,3 Bedroom,Nilgiri Heights,1518,1,0,57.29
Super built-up  Area,Under Construction,Harsul Phase 5,3 Bedroom,Sai Residency,1524,3,2,97.4
Carpet  Area,Ready To Move,Padegaon South 43,4 BHK,Green Park,2720,1,2,139.2
Super built-up  Area,Immediate Possession,Paithan Road Extension 46,1 BHK,Green Park,687,4,2,25.13
Plot  Area,Dec 2024,Satara Area Sector 25,5 BHK,Sai Residency,2592,5,0,145.28
Carpet  Area,Immediate Possession,MGM Campus Extension 24,3 Bedroom,Green Park,1396,3,3,73.42
Carpet  Area,Ready To Move,Shahgunj Central 38,3 BHK,Nilgiri Heights,1196,1,0,68.57
Built-up  Area,Under Construction,Satara Area East 56,1 BHK,Golden Nest,519,1,3,32.76
Built-up  Area,Under Construction,Padegaon Enclave 25,3 BHK,Lake View,1027,4,0,48.17
Built-up  Area,Immediate Possession,Nirala Bazaar Extension 44,4 BHK,Sunshine Towers,1734,2,0,102.18
Carpet  Area,18 Months,Aurangpura Central 58,3 BHK,Sunshine Towers,1543,1,3,65.27
Super built-up  Area,Under Construction,Usmanpura East 33,3 Bedroom,Lake View,1367,1,2,48.0
Carpet  Area,Ready To Move,Seven Hills Block 51,2 Bedroom,Sai Residency,883,1,0,53.71
Super built-up  Area,Ready To Move,Vedant Nagar Phase 18,2 Bedroom,Nilgiri Heights,898,2,1,50.33
Built-up  Area,Ready To Move,Pundlik Nagar Sector 20,4 BHK,Green Park,2745,2,2,106.71
Built-up  Area,Immediate Possession,Beed Bypass East 16,2 BHK,Sunshine Towers,725,5,0,46.17
Super built-up  Area,Under Construction,Beed Bypass Extension 39,4 BHK,Nilgiri Heights,1816,5,3,91.53
Built-up  Area,Immediate Possession,Usmanpura East 47,4 BHK,Sai Residency,2673,5,3,122.98
Built-up  Area,Immediate Possession,Cantonment South 58,1 BHK,Nilgiri Heights,423,4,0,23.77
Super built-up  Area,Ready To Move,Padegaon Phase 54,4 BHK,Nilgiri Heights,2585,5,0,115.79
Built-up  Area,18 Months,Paithan Road Sector 20,4 BHK,Rose Garden,2542,1,2,131.73
Plot  Area,Ready To Move,Seven Hills South 10,3 Bedroom,Sai Residency,1134,4,2,42.97
Built-up  Area,Dec 2024,Kranti Chowk Extension 40,2 BHK,Nilgiri Heights,1089,1,2,63.14
Built-up  Area,Ready To Move,Pundlik Nagar Sector 31,5 BHK,Rose Garden,4668,4,2,299.23
Super built-up  Area,Ready To Move,Kranti Chowk Enclave 30,3 Bedroom,Rose Garden,1478,2,1,55.54
Super built-up  Area,18 Months,Cantonment Block 35,1 BHK,Sai Residency,494,2,1,29.09
Super built-up  Area,Dec 2024,Usmanpura Central 1,4 BHK,Golden Nest,2745,1,2,176.95
Carpet  Area,18 Months,Usmanpura Sector 7,3 BHK,Sai Residency,1312,4,0,73.13
Carpet  Area,Dec 2024,Paithan Road Extension 16,4 BHK,Nilgiri Heights,2786,1,0,134.68
Plot  Area,Immediate Possession,Seven Hills Enclave 23,5 BHK,Rose Garden,3719,1,1,223.29
Plot  Area,18 Months,Kranti Chowk Central 43,3 Bedroom,Green Park,1781,5,3,83.77
Super built-up  Area,Immediate Possession,Vedant Nagar Central 47,3 Bedroom,Sunshine Towers,1747,4,0,101.14
Carpet  Area,Under Construction,Garkheda Enclave 50,3 Bedroom,Green Park,1572,5,3,96.53
Carpet  Area,Ready To Move,Hudco North 17,3 BHK,Sai Residency,1490,1,3,82.75
Carpet  Area,18 Months,Shivaji Nagar Enclave 30,3 Bedroom,Lake View,1613,1,1,65.8
Super built-up  Area,18 Months,Shivaji Nagar Central 39,2 BHK,Lake View,827,1,2,49.53
Plot  Area,18 Months,Pundlik Nagar Extension 55,3 BHK,Golden Nest,1242,1,2,77.49
Plot  Area,Ready To Move,Waluj MIDC Sector 17,3 Bedroom,Golden Nest,1284,5,2,69.37
Super built-up  Area,18 Months,CIDCO Central 4,5 BHK,Lake View,3790,2,2,133.51
Plot  Area,Dec 2024,Nakshtrawadi Phase 32,3 BHK,Lake View,1005,3,2,54.21
Built-up  Area,Ready To Move,Harsul Enclave 29,1 BHK,Lake View,473,5,3,24.4
Built-up  Area,Ready To Move,Jalna Road Extension 34,3 BHK,Golden Nest,1545,2,2,88.7
Super built-up  Area,Ready To Move,Shivaji Nagar Enclave 32,2 BHK,Sai Residency,1232,2,1,60.87
Super built-up  Area,18 Months,Aurangpura North 22,3 BHK,Sunshine Towers,1480,3,1,72.88
Super built-up  Area,Dec 2024,Nakshtrawadi East 5,4 BHK,Rose Garden,2444,1,2,137.95
Carpet  Area,18 Months,Baijipura Central 21,1 BHK,Golden Nest,689,5,3,28.95
Super built-up  Area,18 Months,Baijipura Phase 12,2 BHK,Rose Garden,907,4,2,34.54
Carpet  Area,Immediate Possession,Nakshtrawadi Extension 50,2 Bedroom,Rose Garden,787,3,1,50.78
Carpet  Area,Dec 2024,Hudco Extension 5,2 BHK,Green Park,1034,1,0,40.86
Super built-up  Area,18 Months,Jalna Road Extension 54,2 BHK,Rose Garden,1262,2,3,60.93
Built-up  Area,18 Months,Cantonment Enclave 43,3 BHK,Rose Garden,1253,1,0,71.48
Built-up  Area,Ready To Move,Seven Hills Extension 19,1 BHK,Sai Residency,477,1,0,28.33
Carpet  Area,Under Construction,Jalna Road East 58,3 BHK,,1575,1,3,95.74
Super built-up  Area,Under Construction,Shahgunj Extension 41,3 BHK,Golden Nest,1237,5,0,58.83
Built-up  Area,Immediate Possession,Usmanpura Extension 24,2 Bedroom,,1172,4,3,58.34
Plot  Area,Under Construction,Nirala Bazaar South 42,5 BHK,Green Park,4023,5,3,212.99
Built-up  Area,Ready To Move,Paithan Road East 55,3 BHK,Nilgiri Heights,1217,3,2,59.56
Carpet  Area,18 Months,Beed Bypass East 16,4 BHK,Sunshine Towers,1753,4,2,61.95
Plot  Area,Dec 2024,Baijipura West 42,2 BHK,,892,2,0,51.05
Built-up  Area,Dec 2024,Waluj MIDC Sector 14,2 BHK,Sai Residency,895,1,2,40.97
Super built-up  Area,Under Construction,Aurangpura Extension 48,2 BHK,Golden Nest,732,2,0,40.71
Carpet  Area,Dec 2024,Garkheda Phase 54,3 Bedroom,Rose Garden,1475,3,2,83.99
Plot  Area,Ready To Move,Usmanpura Phase 23,2 BHK,Sunshine Towers,1075,4,0,52.96
Super built-up  Area,Dec 2024,Cantonment Extension 55,5 BHK,Sai Residency,4051,2,0,237.96
Carpet  Area,Under Construction,Mukundwadi West 24,2 Bedroom,,1054,1,0,57.33
Super built-up  Area,Ready To Move,Shahgunj Block 55,1 BHK,Rose Garden,509,1,2,27.24
Super built-up  Area,Under Construction,Vedant Nagar Central 2,1 BHK,Sai Residency,533,2,1,32.85
Plot  Area,Ready To Move,Jalna Road North 18,5 BHK,Green Park,3943,3,2,138.92
Super built-up  Area,Dec 2024,Vedant Nagar Central 47,4 BHK,Green Park,1849,2,1,97.08
Carpet  Area,Immediate Possession,Shivaji Nagar Extension 45,3 BHK,Sai Residency,1640,3,0,79.7
Super built-up  Area,18 Months,Waluj MIDC Phase 39,4 BHK,Nilgiri Heights,2791,3,0,135.65
